Zupanija,BrojKorisnika,Udjel,Textbox14,Textbox15
Grad Zagreb,257.573,"30,67%",839.873,"99,99%"
Splitsko-dalmatinska,74.408,"8,86%",839.873,"99,99%"
Primorsko-goranska,64.912,"7,73%",839.873,"99,99%"
Zagrebačka,59.680,"7,11%",839.873,"99,99%"
Osječko-baranjska,47.031,"5,60%",839.873,"99,99%"
Istarska,45.909,"5,47%",839.873,"99,99%"
Varaždinska,33.438,"3,98%",839.873,"99,99%"
Zadarska,26.755,"3,19%",839.873,"99,99%"
Sisačko-moslavačka,24.945,"2,97%",839.873,"99,99%"
Krapinsko-zagorska,22.565,"2,69%",839.873,"99,99%"
Vukovarsko-srijemska,22.289,"2,65%",839.873,"99,99%"
Međimurska,21.279,"2,53%",839.873,"99,99%"
Brodsko-posavska,19.819,"2,36%",839.873,"99,99%"
Dubrovačko-neretvanska,19.427,"2,31%",839.873,"99,99%"
Karlovačka,18.433,"2,19%",839.873,"99,99%"
Koprivničko-križevačka,18.362,"2,19%",839.873,"99,99%"
Bjelovarsko-bilogorska,14.912,"1,78%",839.873,"99,99%"
Šibensko-kninska,14.309,"1,70%",839.873,"99,99%"
Virovitičko-podravska,10.846,"1,29%",839.873,"99,99%"
Požeško-slavonska,9.330,"1,11%",839.873,"99,99%"
Nepoznato,7.341,"0,87%",839.873,"99,99%"
Ličko-senjska,6.310,"0,75%",839.873,"99,99%"

